IP,Utilizado,Utilizado por,Título,HostName,Categoría Host,Ping,Red,Ubicación,Comment,Cliente,Tarjeta,Módulos,Module_item_id,Acciones
10.205.36.1,Si,---,GATEWAY,GATEWAY,Access point,Desconocido,31,SP ABAJO 10.20.10.36,,0,0,,0,
10.205.36.2,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.3,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.4,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.5,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.6,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.7,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.8,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.9,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.10,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.11,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.12,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.13,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.14,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.15,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.16,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.17,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.18,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.19,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.20,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.21,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.22,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.23,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.24,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.25,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.26,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.27,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.28,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.29,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.30,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.31,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.32,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.33,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.34,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.35,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.36,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.37,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.38,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.39,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.40,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.41,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.42,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.43,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.44,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.45,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.46,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.47,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.48,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.49,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.50,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.51,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.52,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.53,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.54,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.55,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.56,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.57,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.58,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.59,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.60,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.61,No,---,,,Todo,Desconocido,31,Todo,,0,0,,0,
10.205.36.62,Si,---,BROADCAST,BROADCAST,Access point,Desconocido,31,SP ABAJO 10.20.10.36,,0,0,,0,
