IP,Utilizado,Utilizado por,Título,HostName,Categoría Host,Ping,Red,Ubicación,Comment,Cliente,Tarjeta,Módulos,Module_item_id,Acciones
10.205.8.1,Si,---,GATEWAY,GATEWAY,Access point,Desconocido,30,SECTOR 8 AC 10.20.10.8,,0,0,,0,
10.205.8.2,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.3,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.4,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.5,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.6,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.7,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.8,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.9,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.10,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.11,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.12,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.13,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.14,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.15,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.16,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.17,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.18,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.19,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.20,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.21,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.22,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.23,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.24,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.25,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.26,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.27,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.28,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.29,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.30,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.31,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.32,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.33,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.34,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.35,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.36,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.37,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.38,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.39,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.40,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.41,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.42,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.43,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.44,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.45,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.46,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.47,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.48,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.49,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.50,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.51,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.52,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.53,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.54,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.55,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.56,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.57,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.58,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.59,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.60,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.61,No,---,,,Todo,Desconocido,30,Todo,,0,0,,0,
10.205.8.62,Si,---,BROADCAST,BROADCAST,Todo,Desconocido,30,SECTOR 6 AC  10.20.10.6,,0,0,,0,
